file_id,pdf_name,election_type,ballot_type,total_is_valid,candidate_sum_valid,both_valid,failure_modes,,
0982e6d3e342b27cc18ac2dab601ac12,น.9 ต.ท่าหลวง ส.ส.5_18 (บช).pdf,normal,partylist,FALSE,FALSE,FALSE,"ocr_missed_candidates:[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29] | ballot_math_fail (total=544, valid+void+spoiled=704) | candidate_sum_fail (sum=304, valid_votes=497)",,
09838ee111d941651af62aca9abf8c08,ส.ส. 5ทับ18.pdf,normal,district,TRUE,FALSE,FALSE,"candidate_sum_fail (sum=244, valid_votes=210)",,
09b0344a1a9bcccef171c4bc67a225e2,พลสงคราม น.14 10-2-69 10.41.pdf,normal,district,FALSE,FALSE,FALSE,"ballot_math_fail (total=143, valid+void+spoiled=145) | candidate_sum_fail (sum=127, valid_votes=129)",,
09b0344a1a9bcccef171c4bc67a225e2,พลสงคราม น.14 10-2-69 10.41.pdf,normal,partylist,TRUE,TRUE,TRUE,,,
09fbb089005c42a1bfe78d587907f832,ขามเฒ่า น.8.pdf,normal,district,TRUE,TRUE,TRUE,,,
09fbb089005c42a1bfe78d587907f832,ขามเฒ่า น.8.pdf,normal,partylist,TRUE,TRUE,TRUE,,,
0b761babc6d4b93e97027688d71d4eab,น.12.pdf,normal,district,FALSE,FALSE,FALSE,null_header_field:total_ballots | null_header_field:valid_votes | null_header_field:void_ballots,,
0b761babc6d4b93e97027688d71d4eab,น.12.pdf,normal,partylist,TRUE,FALSE,FALSE,"null_header_field:spoiled_ballots | candidate_sum_fail (sum=235, valid_votes=237)",,
0c325950786cc6260375b4d729903552,น.1 ต.กระเบื้องใหญ่ ส.ส.5_18 (บช).pdf,normal,partylist,TRUE,FALSE,FALSE,"candidate_sum_fail (sum=401, valid_votes=404)",,
0dae1f5a7db14e0e94e82b234c7b48a5,ช.4.pdf,advance_out_of_district,district,FALSE,FALSE,FALSE,"ballot_math_fail (total=640, valid+void+spoiled=708) | candidate_sum_fail (sum=511, valid_votes=559)",,
0dae1f5a7db14e0e94e82b234c7b48a5,ช.4.pdf,advance_out_of_district,partylist,FALSE,FALSE,FALSE,"ocr_missed_candidates:[8] | ballot_math_fail (total=60, valid+void+spoiled=92) | candidate_sum_fail (sum=613, valid_votes=60)",,
105480986c2f76e4f498cc266ff3970e,ขามเฒ่า น.11.pdf,normal,district,FALSE,TRUE,FALSE,"ballot_math_fail (total=109, valid+void+spoiled=107)",,
105480986c2f76e4f498cc266ff3970e,ขามเฒ่า น.11.pdf,normal,partylist,FALSE,FALSE,FALSE,"ballot_math_fail (total=107, valid+void+spoiled=109) | candidate_sum_fail (sum=93, valid_votes=99)",,
11b57cd11651075824a888d72a0d7aac,น.13 ต.สัมฤทธิ์ ส.ส.5_18.pdf,normal,district,TRUE,TRUE,TRUE,,,
